Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Months_since_last_delinquent,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens,ID,loan_default
445412,Short Term,709,1167493,8 years,Home Mortgage,Home Improvements,5214.74,17.2,NA,6,1,228190,416746,1,0,10,0
99999999,Short Term,741,2231892,8 years,Own Home,Debt Consolidation,29200.53,14.9,29,18,1,297996,750090,0,0,30,0
347666,Long Term,721,806949,3 years,Own Home,Debt Consolidation,8741.9,12,NA,9,0,256329,386958,0,0,40,0
176220,Short Term,,,5 years,Rent,Debt Consolidation,20639.7,6.1,NA,15,0,253460,427174,0,0,50,0
206602,Short Term,7290,896857,10+ years,Home Mortgage,Debt Consolidation,16367.74,17.3,NA,6,0,215308,272448,0,0,60,1
217646,Short Term,730,1184194,< 1 year,Home Mortgage,Debt Consolidation,10855.08,19.6,10,13,1,122170,272052,1,0,70,0
648714,Long Term,,,< 1 year,Home Mortgage,Buy House,14806.13,8.2,8,15,0,193306,864204,0,0,80,1
548746,Short Term,678,2559110,2 years,Rent,Debt Consolidation,18660.28,22.6,33,4,0,437171,555038,0,0,90,0
541970,Short Term,,,10+ years,Home Mortgage,Home Improvements,23568.55,23.2,NA,23,0,60705,1634468,0,0,120,0
234124,Short Term,727,693234,10+ years,Rent,Debt Consolidation,14211.24,24.7,46,10,1,28291,107052,1,0,150,0
153252,Short Term,714,1890690,2 years,Rent,Debt Consolidation,21900.35,15.7,NA,12,0,891594,1081014,0,0,230,1
333564,Long Term,725,1248338,10+ years,Home Mortgage,Debt Consolidation,18205.04,14.6,NA,18,0,300979,515526,0,0,340,0
288948,Short Term,7120,537472,10+ years,Rent,Debt Consolidation,5777.9,14.8,NA,4,0,132468,164406,0,0,440,1
266112,Short Term,750,919296,1 year,Rent,Debt Consolidation,12946.79,21.6,NA,9,0,266266,485518,0,0,460,0
129712,Short Term,723,1465698,10+ years,Own Home,Debt Consolidation,18199.15,19.4,6,34,1,45106,163218,0,0,470,0
287980,Short Term,737,1013954,< 1 year,Home Mortgage,Debt Consolidation,16138.6,18.6,13,11,0,223117,489302,0,0,480,0
439428,Short Term,710,1518024,8 years,Rent,Debt Consolidation,20923.56,17.8,NA,11,0,209304,265716,0,0,490,0
99999999,Long Term,730,2509520,10+ years,Home Mortgage,Debt Consolidation,34714.9,40.8,35,12,0,733324,1035496,0,0,550,0
174548,Short Term,721,1620681,6 years,Rent,Take a Trip,30522.74,15,27,7,0,40489,128832,0,0,600,0
718784,Long Term,672,1648915,10+ years,Home Mortgage,Debt Consolidation,15664.74,12,5,10,0,252016,489610,0,0,620,0
602008,Long Term,741,2896721,2 years,Own Home,Debt Consolidation,48278.62,19.6,32,17,0,5246261,11887678,0,0,640,0
523908,Long Term,7370,1028774,6 years,Home Mortgage,Debt Consolidation,22632.99,19.3,NA,5,0,474658,742720,0,0,660,1
211222,Short Term,694,947625,4 years,Rent,Debt Consolidation,8923.35,18,65,9,1,93081,397694,1,0,710,0
99999999,Short Term,737,2015159,6 years,Home Mortgage,Debt Consolidation,21494.89,10.5,54,16,0,321214,478060,0,0,800,0
99999999,Short Term,748,1875680,5 years,Rent,other,9393.98,13,NA,14,0,232674,1353858,0,0,810,0
392282,Long Term,688,974662,8 years,Home Mortgage,Debt Consolidation,10396.42,12,10,11,0,35663,242946,0,0,830,0
498586,Long Term,666,1351679,3 years,Rent,Other,32214.88,12.2,NA,15,0,205637,433686,0,0,860,0
378334,Short Term,714,2120514,2 years,Rent,Debt Consolidation,35695.3,17,24,12,0,75335,413402,0,0,870,0
479358,Short Term,,,10+ years,Rent,Debt Consolidation,22659.59,22.4,41,13,0,807462,1391302,0,0,910,0
158818,Short Term,731,315666,n/a,Own Home,Debt Consolidation,8522.83,31.3,60,13,2,260072,756646,0,2,970,0
453464,Short Term,712,895147,3 years,Rent,Debt Consolidation,17007.85,14.2,77,12,1,137845,222926,1,0,990,0
166672,Short Term,705,1048667,10+ years,Home Mortgage,Debt Consolidation,16166.91,16,18,10,0,167656,267014,0,0,1010,0
