product_id,product_name,product_mfg
0,"Samsung Galaxy S9, 64GB, Lilac Purple - Fully Unlocked (Renewed)",Samsung
1,Samsung Galaxy A71 SM-A715F/DS 4G LTE 128GB + 6GB Ram Octa Core (LTE USA Latin Caribbean Euro) w/Four Cameras (64+12+5+5mp) Android (Black),Samsung
2,"Apple iPhone 8 Plus, GSM Unlocked, 64GB - Space Gray (Refurbished)",Apple
3,"Motorola Moto G7 (64GB, 4GB RAM) Dual SIM 6.2"" 4G LTE (GSM Only) Factory Unlocked Smartphone International Model XT1962-6 International Version No Warranty",Motorola
4,OnePlus 8 Pro Ultramarine Blue 12GB+256GB with Alexa Built-in,OnePlus
5,"Apple iPhone 6S, 64GB, Space Gray - Fully Unlocked (Renewed)",Apple
6,"Samsung Galaxy A30S w/On-Screen Fingerprint (64GB, 4GB) 6.4"", Triple Camera, Dual SIM GSM Unlocked A307G/DS - US + Global 4G LTE International Model (64GB + 64GB SD + Case Bundle) (Black)",Samsung
7,"Apple iPhone 11, 128GB, Black - Fully Unlocked (Renewed)",Apple
8,Samsung Galaxy S9 G960U 64GB Unlocked GSM 4G LTE Phone w/ 12MP Camera - Midnight Black,Samsung
9,"Samsung Galaxy Note 10+, 256GB, Aura Glow - For AT&T / T-Mobile (Renewed)",Samsung
10,"Samsung Galaxy S10e, 128GB, Prism Black - For AT&T / T-Mobile (Renewed)",Samsung
11,"Samsung Galaxy S9+, 64GB, Lilac Purple - For AT&T / T-Mobile (Renewed)",Samsung
12,"Apple iPhone XS, 256GB , Space Gray - Fully Unlocked (Renewed)",Apple
13,"Apple iPhone 7 32GB, Rose Gold (Renewed)",Apple
14,"Xiaomi Redmi Note 8 6.3"" 64GB 4GB RAM (GSM Only, No CDMA) Internationa Version - No Warranty (Space Black)",Xiaomi
15,"Apple iPhone 7, 128GB, Rose Gold - Fully Unlocked (Renewed)",Apple
16,"Samsung Galaxy A10 32GB A105M 6.2"" HD+ Infinity-V 4G LTE Factory Unlocked GSM Smartphone - Black",Samsung
17,"Samsung Galaxy Note 9, 128GB, Ocean Blue - For AT&T / T-Mobile (Renewed)",Samsung
18,Samsung Galaxy Note 9 N960U 128GB T-Mobile Unlocked Phone - Ocean Blue (Renewed),Samsung
19,Motorola Moto G8 Play | 2/32GB | Unlocked International - GSM only | No CDMA | No US Warranty |Obsidian Grey,Motorola
20,LG Stylo 5 with Alexa Push-to-Talk – Unlocked – 32 GB – Black (US Warranty),LG
21,"Samsung Galaxy Note 8, 64GB, Midnight Black - Fully Unlocked (Renewed)",Samsung
22,"Apple iPhone 7, 32GB, Silver - Fully Unlocked (Renewed)",Apple
23,Samsung Galaxy A30S A307G 64GB Unlocked GSM Dual SIM Phone w/Triple (25MP+8MP+5MP) Camera - Prism Crush Black,Samsung
24,"Samsung Galaxy S10+, 128GB, Prism Black - Fully Unlocked (Renewed)",Samsung
25,"Apple iPhone 7 Plus, 32GB, Black - Fully Unlocked (Renewed)",Apple
26,Apple iPhone 8 a1905 64GB LTE GSM Unlocked (Renewed),Apple
